DATE,X200004,X200012,X215451,X214517,X200019,X200023,X200031,X200034,X211592,X205784,X200035,X200040,X200056,X200058
1979-06-26,0,0,0,0,0,0,11.506,2.876,0,0,0,0,10.187,3.487
1979-06-27,0,16.679,0,0,0,35.761,0,0,0,0,0,0,0,0
1979-06-28,0,23.261,0,0,0,33.059,0,0,0,0,0,0,10.509,13.129
1979-06-29,0,57.214,0,0,0,57.003,0,0,0,0,4.262,0.064,27.578,42.573
1979-06-30,0,25.783,0,0,0,37.901,18.763,17.687,0.086,2.781,6.864,0,15.884,15.251
1979-07-01,0,8.409,0,0,0,0,0,0,0,0,0,0,2.658,3.636
1979-07-02,0,13.561,0,0,0,10.783,3.958,0.008,0,0,0,0,8.764,15.574
1979-07-03,0,44.693,0,0,0,36.927,24.07,30.736,0,0,0,0.038,26.996,23.558
1979-07-04,0,31.816,0,0,0,15.639,0,0,0,0,0,3.646,4.494,0
1979-07-05,0,74.28,0,0,0,30.572,0,0,21.271,23.951,12.863,0.509,0,0
1979-07-06,0,6.895,0,0,0,12.428,0,0,18.423,21.11,28.696,0,16.876,16.491
1979-07-07,0,23.559,0,0,0,16.376,0,3.182,22.894,6.961,1.497,1.288,11.872,16.962
1979-07-08,0,58.241,0,3.682,2.809,85.693,0,0,0,0,0,0,3.483,4.765
1979-07-09,0,47.12,0,0.988,0.481,53.072,0,0,2.312,0,0,0,12.145,11.464
1979-07-10,0,60.27,0,2.285,1.893,47.589,31.709,24.103,14.67,20.345,20.494,0,26.903,30.245
1979-07-11,0,45.751,0.023,2.368,0.828,36.115,64.703,53.88,12.93,20.795,27.879,3.354,61.812,90.646
1979-07-12,0,54.817,0,0.48,1.059,29.954,8.765,13.968,13.951,10.627,17.673,2.429,6.962,12.627
1979-07-13,0,44.858,0,3.092,1.146,29.382,4.39,2.993,9.884,10.952,18.165,6.266,10.631,18.834
1979-07-14,0,60.746,0.023,0.672,0.701,46.956,14.818,15.081,0.105,3.149,8.376,1.234,23.957,23.782
1979-07-15,0,46.733,0,0.033,0.871,44.363,17.339,16.08,0,0,0,0,32.822,39.218
1979-07-16,0,35.105,0,0,0,32.544,26.782,42.589,14.141,16.577,19.175,0,27.957,32.382
1979-07-17,0,31.968,0,0,0,22.872,0,0,9.429,0.979,0,0,4.036,0
1979-07-18,0,106.124,0.16,2.064,2.517,160.451,11.424,12.389,22.006,33.452,79.552,0.003,18.934,21.68
1979-07-19,0,37.391,0,0.009,0.158,34.063,41.791,46.699,15.365,17.896,20.966,11.317,108.194,136.478
1979-07-20,0,0.053,0,0.361,0,0,3.936,3.242,2.423,3.839,5.434,25.812,26.815,27.331
1979-07-21,0,29.791,0,0,0,12.83,0,0,8.519,8.509,15.976,0,0,0
1979-07-22,0,55.39,0,1.653,0.143,42.797,21.516,26.772,7.308,9.532,6.609,0.005,59.151,60.991
1979-07-23,0,45.869,0,0,0,39.98,12.155,10.688,32.526,32.376,38.228,4.884,26.526,27.705
1979-07-24,0,0,0.028,0.743,0.083,0,16.285,20.083,15.529,18.914,27.635,3.54,46.98,56.059
1979-07-25,0,0,0,0,0,0,44.952,55.845,3.321,9.995,5.758,0,27.422,30.373
1979-07-26,0,7.517,0,0,0,0,8.153,9.697,5.299,13.966,12.882,1.434,0,0
1979-07-27,0,13.889,0,0,0,8.503,15.504,14.289,14.494,22.019,23.329,3.361,16.188,3.557
1979-07-28,0,21.59,0,0,0,14.868,9.542,24.777,6.569,4.066,0,3.909,23.688,24.544
1979-07-29,0,231.464,0,0,0,257.885,13.525,9.879,0,0,0,0.07,21.768,23.066
1979-07-30,0,0.013,0,0,0,0,17.267,19.248,17.57,19.371,15.095,13.948,31.208,35.97
1979-07-31,0,27.923,0,0,0,18.939,16.975,15.573,19.632,19.615,22.3,7.895,14.073,16.646
1979-08-01,0,117.48,1.744,1.773,0.957,82.318,15.629,22.386,23.025,32.574,32.569,14.618,26.505,37.715
1979-08-02,0,9.732,0.15,0,0.239,12.26,25.109,19.283,13.802,21.936,27.07,9.698,17.42,20.895
1979-08-03,0,9.582,0.077,0.345,0.313,10.854,10.841,9.315,26.374,27.518,25.749,0,5.841,11.698
